Master Code,PtD Total
4000,156965.0
4010,2360.0
4020,-20188.46
4030,0.0
4040,-1269.0
4050,-1678.55
4060,-606.56
4065,0.0
4100,0.0
4110,1716.97
4111,1197.48
4112,0.0
4113,550.52
4114,1002.5500000000001
4200,1375.0
4210,600.0
4220,0.0
4230,0.0
4240,415.0
4245,0.0
4250,1800.0
4260,0.0
4270,0.0
4280,300.0
4290,819.64
4300,2104.29
4310,0.0
4320,0.0
4330,0.0
4340,0.0
4350,-1000.0
4500,0.0
5100,0.0
5110,715.0
5120,0.0
5130,0.0
5140,1416.51
5150,234.0
5160,0.0
5170,3907.7
5180,0.0
5200,0.0
5210,133.86
5220,0.0
5230,0.0
5240,489.2
5250,65.0
5260,260.0
5270,0.0
5280,159.0
5290,161.5
5300,0.0
5310,38.31
5320,256.4
5330,62.45
5340,564.19
5400,6100.84
5500,0.0
5510,4944.09
5520,76.88
5530,0.0
5540,187.7
5550,14.35
5560,0.0
5570,370.66
5600,0.0
5610,5925.83
5615,4970.28
5620,1067.72
5630,0.0
5635,0.0
5640,247.93
5645,2512.0
5650,55.14
5655,649.14
5660,0.0
5670,200.0
5680,393.0
5690,86.12
5700,5365.0
5710,18700.0
5800,0.0
5810,0.0
5811,0.0
5812,0.0
5813,0.0
5814,0.0
5815,740.94
5816,0.0
5817,0.0
5818,0.0
5819,0.0
5820,13.07
5822,0.0
5823,0.0
5824,0.0
5825,0.0
5830,0.0
5831,0.0
5832,0.0
5833,0.0
5834,111.02
5835,0.0
5836,42.08
5837,0.0
5838,0.0
5839,0.0
5840,0.0
5841,0.0
5842,0.0
5850,0.0
5851,0.0
5852,0.0
5853,0.0
5854,0.0
5855,0.0
5900,0.0
5910,476.75
5915,1716.03
5920,1825.39
5930,522.99
5940,3735.96
5941,711.18
5950,3066.0
5960,47483.19
5970,0.0
